more_recent_lag,less_recent_lag,response_time(ms),error(ms),,
-6,-7,1411.032892,52.33923089,,
-5,-7,1346.993266,49.26125087,,
-5,-6,1402.166206,56.03467286,,
-4,-7,1275.562756,51.72431341,,
-4,-6,1322.118369,45.56665705,,
-4,-5,1283.693237,46.79818833,,
-3,-7,1180.734848,44.33427762,,
-3,-6,1239.605774,39.4090007,,
-3,-5,1217.190548,43.71851198,,
-3,-4,1224.333769,43.10359451,,
-2,-7,1072.361792,33.86710997,,
-2,-6,1049.948262,34.48372377,,
-2,-5,1082.955336,38.17746942,,
-2,-4,1086.402266,36.94508999,,
-2,-3,1126.796831,39.4090007,,
-1,-7,827.287069,25.86215671,,
-1,-6,825.809571,24.01570796,,
-1,-5,851.42576,28.94098489,,
-1,-4,827.780699,27.09368798,,
-1,-3,892.804193,46.18242269,,
-1,-2,897.484351,35.09864124,,